Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
DC distribution,DC,14,EPS-Source,EPS-Source,2000
Plug-in electric vehicle,PEVs,13,EPS-Source,EPS-Grid,2000
smart grid,PHEVs,17,EPS-Source,EPS-Grid,2000
electric vehicle,EVs,18,EPS-Source,EPS-Source,2000
smart grid,EVs,33,EPS-Source,EPS-Source,2000
Internet of things,IoT,63,EPS-Source,IOT-App,2000
6LoWPAN,IoT,13,EPS-Store,IOT-App,2000
RFID,IoT,30,IOT-Network,IOT-App,2000
security,IoT,19,EPS-Source,IOT-App,2000
wireless sensor network,IoT,27,EPS-Source,IOT-App,2000
Cloud computing,IoT,20,EPS-Source,IOT-App,2000
Microgrid,energy storage,29,EPS-Source,EPS-Source,2000
DC microgrid,DC,49,EPS-Source,EPS-Source,2000
renewable energy sources,DC,19,EPS-Source,EPS-Source,2000
Distributed generation,DG,15,EPS-Source,EPS-Source,2000
Microgrid,PV,37,EPS-Source,EPS-Source,2000
Energy storage,India,11,EPS-Grid,EPS-Grid,2000
Electric vehicles,EVs,29,EPS-Grid,EPS-Source,2000
Energy storage,EVs,13,EPS-Grid,EPS-Source,2000
Micro-grid,DC,11,EPS-Store,EPS-Source,2000
BESS,energy storage system,19,IOT-Network,EPS-Grid,2000
microgrid,energy storage,42,EPS-Source,EPS-Source,2000
Smart Grid,smart meter,13,EPS-Source,EPS-Source,2000
smart grid,electric vehicle,27,EPS-Source,EPS-Source,2000
plug-in electric vehicles,PEVs,13,EPS-Grid,EPS-Grid,2000
Battery energy storage system,energy storage,17,EPS-Grid,EPS-Source,2000
Smart grid,energy storage,12,EPS-Source,EPS-Source,2000
smart grid,PEVs,14,EPS-Source,EPS-Grid,2000
microgrid,MG,17,EPS-Source,EPS-Grid,2000
PEV,PEVs,12,EPS-Grid,EPS-Grid,2000
PHEV,PHEVs,24,EPS-Grid,EPS-Grid,2000
Plug-in Hybrid Electric Vehicles,PHEVs,13,EPS-Grid,EPS-Grid,2000
Smart Grid,PHEVs,16,EPS-Source,EPS-Grid,2000
Radio frequency identification,RFID,17,EPS-Grid,IOT-Network,2000
Middleware RFID,RFID,12,EPS-Grid,IOT-Network,2000
Internet of things,RFID,23,EPS-Source,IOT-Network,2000
Mobile devices,RFID,12,EPS-Grid,IOT-Network,2000
Embedded framework,RFID,12,EPS-Grid,IOT-Network,2000
Pervasive computing,RFID,12,EPS-Grid,IOT-Network,2000
Internet of Things,RFID,39,EPS-Source,IOT-Network,2000
Internet of things,wireless sensor networks,13,EPS-Source,EPS-Store,2000
Mobile IPv6,IPv6,14,EPS-Grid,EPS-Store,2000
cloud computing,IoT,12,EPS-Grid,IOT-App,2000
Internet of Things,WSN,15,EPS-Source,IOT-Network,2000
internet of things,Internet of Things,19,EPS-Store,EPS-Source,2000
Microgrid,MG,12,EPS-Source,EPS-Grid,2000
Photovoltaic,PV,26,EPS-Grid,EPS-Source,2000
V2G,PEVs,13,EPS-Store,EPS-Grid,2000
Electric vehicle,EVs,14,EPS-Store,EPS-Source,2000
Smart grid,EVs,17,EPS-Source,EPS-Source,2000
smart grid,energy storage,18,EPS-Source,EPS-Source,2000
renewable energy,energy storage,11,EPS-Store,EPS-Source,2000
power quality,PV,12,EPS-Source,EPS-Source,2000
Battery,DC,12,EPS-Store,EPS-Source,2000
Battery,energy storage,12,EPS-Store,EPS-Source,2000
BESS,energy storage,12,IOT-Network,EPS-Source,2000
plug-in electric vehicle,PEVs,13,EPS-Load,EPS-Grid,2000
energy storage,DC,13,EPS-Source,EPS-Source,2000
M2M communication,M2M,45,EPS-Store,EPS-Store,2000
Smart Grid,smart grids,11,EPS-Source,EPS-Source,2000
plug-in hybrid electric vehicle,PHEVs,12,EPS-Store,EPS-Grid,2000
V2G,EVs,18,EPS-Store,EPS-Source,2000
Micro-grid,PV,14,EPS-Store,EPS-Source,2000
Smart Grid,electric vehicle,12,EPS-Source,EPS-Source,2000
DC micro-grid,DC,12,EPS-Store,EPS-Source,2000
Energy storage,energy storage,16,EPS-Grid,EPS-Source,2000
Dynamic routing,IoT,12,EPS-Store,IOT-App,2000
Pricing model,IoT,12,EPS-Store,IOT-App,2000
Heterogeneous communication,IoT,12,EPS-Store,IOT-App,2000
sensor,IoT,16,EPS-Store,IOT-App,2000
IoT security,IoT,23,EPS-Store,IOT-App,2000
Wireless sensor network,IoT,21,EPS-Store,IOT-App,2000
Wireless Sensor Networks,IoT,57,EPS-Store,IOT-App,2000
Middleware,IoT,46,EPS-Store,IOT-App,2000
M2M communications,M2M,16,EPS-Store,EPS-Store,2000
Internet of things,M2M,13,EPS-Source,EPS-Store,2000
IoT,wireless sensor networks,53,IOT-App,EPS-Store,2000
WSN,wireless sensor networks,28,IOT-Network,EPS-Store,2000
Clustering,wireless sensor networks,12,EPS-Store,EPS-Store,2000
Bluetooth Low Energy,BLE,28,EPS-Store,EPS-Store,2000
Internet of Things,BLE,35,EPS-Source,EPS-Store,2000
IoT,M2M,53,IOT-App,EPS-Store,2000
Constrained Application Protocol,CoAP,12,EPS-Store,EPS-Store,2000
Internet of Things,CoAP,14,EPS-Source,EPS-Store,2000
6LoWPAN,IPv6,24,EPS-Store,EPS-Store,2000
IoT,IPv6,47,IOT-App,EPS-Store,2000
wireless sensor network,WSN,18,EPS-Source,IOT-Network,2000
internet of things,IoT,93,EPS-Store,IOT-App,2000
wireless sensor network,Internet of Things,14,EPS-Source,EPS-Source,2000
IoT,BLE,14,IOT-App,EPS-Store,2000
Internet of Things,IPv6,28,EPS-Source,EPS-Store,2000
Wi-Fi,Internet of Things,18,IOT-Network,EPS-Source,2000
Wireless Sensor Networks,WSN,17,EPS-Store,IOT-Network,2000
IOT,Internet of Things,12,EPS-Load,EPS-Source,2000
Context awareness,IoT,13,EPS-Store,IOT-App,2000
Automation,IoT,11,IOT-App,IOT-App,2000
privacy,IoT,28,EPS-Source,IOT-App,2000
sensors,IoT,32,EPS-Store,IOT-App,2000
trust,IoT,12,EPS-Store,IOT-App,2000
energy management,PV,11,EPS-Store,EPS-Source,2000
smart grid,PV,11,EPS-Source,EPS-Source,2000
energy management,DC,12,EPS-Store,EPS-Source,2000
Energy storage,PV,20,EPS-Grid,EPS-Source,2000
electric vehicle,PV,12,EPS-Source,EPS-Source,2000
Coordinative control,DR,12,EPS-Source,EPS-Source,2000
hierarchical control,DR,12,EPS-Source,EPS-Source,2000
residential feeder,DR,12,EPS-Source,EPS-Source,2000
voltage regulation,PV,12,EPS-Source,EPS-Source,2000
smart grid,IEC,11,EPS-Source,EPS-Source,2000
Microgrid,DG,20,EPS-Source,EPS-Source,2000
authentication,M2M,16,EPS-Store,EPS-Store,2000
key establishment,M2M,16,EPS-Source,EPS-Store,2000
6LoWPAN security,M2M,16,EPS-Source,EPS-Store,2000
Internet of Things,DoS,18,EPS-Source,EPS-Source,2000
Micro-Grid,energy storage,14,EPS-Source,EPS-Source,2000
Smart Grid,EVs,38,EPS-Source,EPS-Source,2000
DC grid,DC,11,EPS-Source,EPS-Source,2000
plug-in hybrid electric vehicle,DC,12,EPS-Store,EPS-Source,2000
Smart Grid,SG,20,EPS-Source,IOT-App,2000
Smart grid,smart meter,14,EPS-Source,EPS-Source,2000
optimization,smart grids,11,EPS-Store,EPS-Source,2000
Smart Meter,SG,12,EPS-Source,IOT-App,2000
Advanced Metering Infrastructure,smart meter,14,EPS-Source,EPS-Source,2000
DC distribution networks,DC,15,EPS-Source,EPS-Source,2000
power electronics load,DC,15,EPS-Source,EPS-Source,2000
demand response,DC,20,EPS-Source,EPS-Source,2000
BACnet,DR,11,EPS-Source,EPS-Source,2000
DC Microgrid,DC,18,EPS-Source,EPS-Source,2000
Electric Vehicle,EVs,22,EPS-Source,EPS-Source,2000
RFID security,RFID,14,EPS-Source,IOT-Network,2000
Mobile ad hoc networks,WSN,15,EPS-Source,IOT-Network,2000
routing protocols,WSN,15,EPS-Source,IOT-Network,2000
Wireless sensor networks,IoT,20,EPS-Source,IOT-App,2000
coverage,IoT,12,IOT-Network,IOT-App,2000
identification,RFID,12,EPS-Source,IOT-Network,2000
security,RFID,12,EPS-Source,IOT-Network,2000
privacy,RFID,12,EPS-Source,IOT-Network,2000
elliptic curves,RFID,12,EPS-Source,IOT-Network,2000
wireless sensor network,smart home energy management,12,EPS-Source,EPS-Source,2000
smart home energy management system,smart home energy management,12,EPS-Source,EPS-Source,2000
key establishment,smart home energy management,12,EPS-Source,EPS-Source,2000
WSN,IoT,15,IOT-Network,IOT-App,2000
machine-to-machine communications,M2M,11,EPS-Source,EPS-Store,2000
cyber-physical systems,M2M,11,EPS-Source,EPS-Store,2000
Microgrid,dynamic economic dispatch,12,EPS-Source,EPS-Source,2000
Dynamic economic dispatch,dynamic economic dispatch,12,EPS-Source,EPS-Source,2000
Uncertainty,dynamic economic dispatch,12,EPS-Source,EPS-Source,2000
Improved particle swarm optimization,dynamic economic dispatch,12,EPS-Source,EPS-Source,2000
Monte Carlo simulation,dynamic economic dispatch,12,EPS-Source,EPS-Source,2000
Operation scheduling strategies,dynamic economic dispatch,12,EPS-Source,EPS-Source,2000
Renewable energy,PV,14,EPS-Source,EPS-Source,2000
Drinking water plant,PV,12,EPS-Source,EPS-Source,2000
Integrated bidding strategy,PV,12,EPS-Source,EPS-Source,2000
Wind and solar system,PV,12,EPS-Source,EPS-Source,2000
Stochastic programming,PV,12,EPS-Source,EPS-Source,2000
Demand response,PV,16,EPS-Source,EPS-Source,2000
distributed generation,smart grids,11,EPS-Source,EPS-Source,2000
voltage control,smart grids,13,EPS-Source,EPS-Source,2000
mixed integer linear programming,energy storage,12,EPS-Source,EPS-Source,2000
reliability,energy storage,11,IOT-App,EPS-Source,2000
renewable energy resources,energy storage,13,EPS-Source,EPS-Source,2000
Smart microgrid,smart microgrid,12,EPS-Source,EPS-Source,2000
demand response,MG,12,EPS-Source,EPS-Grid,2000
photovoltaic power systems,PV,16,EPS-Source,EPS-Source,2000
high-penetration PV,PV,12,EPS-Source,EPS-Source,2000
SCADA systems,PV,12,EPS-Source,EPS-Source,2000
data acquisition,PV,12,EPS-Source,EPS-Source,2000
COPT,PV,14,EPS-Source,EPS-Source,2000
LOLE,PV,14,EPS-Source,EPS-Source,2000
LOEE,PV,14,EPS-Source,EPS-Source,2000
Battery storage,DC,12,EPS-Source,EPS-Source,2000
Network formation,smart meter,11,EPS-Source,EPS-Source,2000
stochastic learning,smart meter,11,EPS-Source,EPS-Source,2000
wireless routing,smart meter,11,EPS-Source,EPS-Source,2000
DC system,DC,14,EPS-Source,EPS-Source,2000
sliding mode control,DC,12,EPS-Source,EPS-Source,2000
power system stability,DC,13,EPS-Source,EPS-Source,2000
security,smart meter,12,EPS-Source,EPS-Source,2000
privacy,smart meter,17,EPS-Source,EPS-Source,2000
AMI,SG,12,EPS-Source,IOT-App,2000
microgrid,EVs,12,EPS-Source,EPS-Source,2000
quality of service,IoT,12,EPS-Grid,IOT-App,2000
Battery energy storage system,BESS,18,EPS-Grid,IOT-Network,2000
Security,IoT,30,EPS-Grid,IOT-App,2000
Heterogeneous,IoT,12,EPS-Grid,IOT-App,2000
RFID sensor networks,IoT,12,EPS-Grid,IOT-App,2000
Privacy,IoT,15,EPS-Grid,IOT-App,2000
EXI,IoT,14,EPS-Grid,IOT-App,2000
CoAP,IoT,19,EPS-Store,IOT-App,2000
energy harvesting,RF,11,IOT-App,IOT-App,2000
Semantic Web,IoT,14,EPS-Grid,IOT-App,2000
network communications,IoT,11,EPS-Grid,IOT-App,2000
internetworking,IoT,11,EPS-Grid,IOT-App,2000
backwards compatibility,IoT,11,EPS-Grid,IOT-App,2000
system architecture,IoT,11,EPS-Grid,IOT-App,2000
interoperability,IoT,15,EPS-Grid,IOT-App,2000
Contiki,IoT,12,EPS-Grid,IOT-App,2000
Cloud Computing,IoT,14,EPS-Grid,IOT-App,2000
LTE,M2M,15,EPS-Grid,EPS-Store,2000
Machine-to-Machine Communication,M2M,12,EPS-Grid,EPS-Store,2000
Human-to-Human communication,M2M,12,EPS-Grid,EPS-Store,2000
Fixed AGTI Time-controlled Scheduling Scheme and Dynamic AGTI Time-controlled Scheduling Scheme,M2M,12,EPS-Grid,EPS-Store,2000
Augmented Reality,IoT,14,EPS-Grid,IOT-App,2000
IOT,IoT,30,EPS-Load,IOT-App,2000
M2M,5G,11,EPS-Store,IOT-App,2000
IoT,5G,39,IOT-App,IOT-App,2000
Residential microgrid,residential microgrid,14,EPS-Load,EPS-Load,2000
HEMS,residential microgrid,12,EPS-Load,EPS-Load,2000
Home energy management system,residential microgrid,12,EPS-Load,EPS-Load,2000
MPC,residential microgrid,12,EPS-Load,EPS-Load,2000
Model predictive control,residential microgrid,12,EPS-Load,EPS-Load,2000
MILP,residential microgrid,12,EPS-Load,EPS-Load,2000
Mixed-integer linear programming,residential microgrid,12,EPS-Load,EPS-Load,2000
Demand response,residential microgrid,12,EPS-Source,EPS-Load,2000
Cogeneration,PV,16,EPS-Load,EPS-Source,2000
Combined heat and power,PV,16,EPS-Load,EPS-Source,2000
Sizing,PV,16,EPS-Load,EPS-Source,2000
distribution system,PV,16,EPS-Load,EPS-Source,2000
plug-in electric vehicle,DC,25,EPS-Load,EPS-Source,2000
self-consumption,DC,20,EPS-Load,EPS-Source,2000
modeling,DC,20,EPS-Load,EPS-Source,2000
Energetic Macroscopic Representation,DC,20,EPS-Load,EPS-Source,2000
Maximum Control Structure,DC,20,EPS-Load,EPS-Source,2000
distributed generation,PV,12,EPS-Source,EPS-Source,2000
Thermal energy storage,energy storage,17,EPS-Load,EPS-Source,2000
Desegregation of the demand,PV,12,EPS-Load,EPS-Source,2000
Monte Carlo method,PV,12,EPS-Load,EPS-Source,2000
Charging stations,DC,12,EPS-Load,EPS-Source,2000
Vehicle to grid,DC,12,EPS-Load,EPS-Source,2000
Electric vehicles,DC,12,EPS-Grid,EPS-Source,2000
Hybrid vehicles,DC,12,EPS-Load,EPS-Source,2000
demand response,DRM,11,EPS-Source,EPS-Load,2000
fluorescence,pH,12,EPS-Store,EPS-Store,2000
intelligent,CNC,18,EPS-Store,EPS-Store,2000
service-oriented,CNC,18,EPS-Store,EPS-Store,2000
shared,CNC,18,EPS-Store,EPS-Store,2000
database,CNC,18,EPS-Store,EPS-Store,2000
monitor,CNC,18,EPS-Store,EPS-Store,2000
optimization,CNC,18,EPS-Store,EPS-Store,2000
evaluation,CNC,18,EPS-Store,EPS-Store,2000
Anonymity,BS,12,IOT-App,EPS-Store,2000
Location privacy,BS,12,EPS-Store,EPS-Store,2000
Distributed beamforming,BS,12,EPS-Store,EPS-Store,2000
Cooperative communication,BS,12,EPS-Store,EPS-Store,2000
Traffic analysis,BS,12,EPS-Store,EPS-Store,2000
Internet of Things,BS,12,EPS-Source,EPS-Store,2000
Bluetooth low energy,IoT,13,EPS-Store,IOT-App,2000
Internet of Things,3D,15,EPS-Source,EPS-Store,2000
RPL,IoT,21,EPS-Store,IOT-App,2000
loT,IoT,40,IOT-Network,IOT-App,2000
network security,IoT,18,EPS-Store,IOT-App,2000
Data analysis,M2M,12,EPS-Store,EPS-Store,2000
Data handling,M2M,12,EPS-Store,EPS-Store,2000
Data processing,M2M,12,EPS-Store,EPS-Store,2000
Information management,M2M,12,EPS-Store,EPS-Store,2000
Machine-to-machine communications,M2M,14,EPS-Store,EPS-Store,2000
Software systems,M2M,12,EPS-Store,EPS-Store,2000
IoT application,IoT,11,EPS-Store,IOT-App,2000
High-speed network,IoT,12,EPS-Store,IOT-App,2000
mm-wave integrated transceiver,IoT,12,EPS-Store,IOT-App,2000
Cloud,IoT,14,EPS-Store,IOT-App,2000
Ontology,IoT,26,EPS-Store,IOT-App,2000
Zigbee,WSN,16,EPS-Store,IOT-Network,2000
BHL,RGB,12,EPS-Store,EPS-Store,2000
Body Hydration Leveldetection and awareness,RGB,12,EPS-Store,EPS-Store,2000
Cloud platform,RGB,12,EPS-Store,EPS-Store,2000
IoT,RGB,12,IOT-App,EPS-Store,2000
Smart sensor networks,RGB,12,EPS-Store,EPS-Store,2000
Healthcare,IoT,16,EPS-Store,IOT-App,2000
Sensor networks,IoT,21,EPS-Store,IOT-App,2000
RFID system,IoT,18,EPS-Store,IOT-App,2000
Mobile communications,IoT,18,EPS-Store,IOT-App,2000
Programming frameworks,IoT,19,EPS-Store,IOT-App,2000
Big Data,IoT,49,EPS-Store,IOT-App,2000
Data analytics,IoT,19,EPS-Store,IOT-App,2000
Service Oriented Architecture,IoT,12,EPS-Store,IOT-App,2000
Internet of Things,wireless communication,14,EPS-Source,EPS-Store,2000
IoT device,IoT,12,EPS-Store,IOT-App,2000
OGC SWE,IoT,12,EPS-Store,IOT-App,2000
Sensor Observation Service,IoT,12,EPS-Store,IOT-App,2000
PUCK,IoT,12,EPS-Store,IOT-App,2000
SensorThings,IoT,12,EPS-Store,IOT-App,2000
Mobile computing,IoT,16,EPS-Store,IOT-App,2000
Trust,IoT,16,EPS-Store,IOT-App,2000
IoT,mobility management,13,IOT-App,EPS-Store,2000
Data Streaming,IoT,18,EPS-Store,IOT-App,2000
IoT,transmitter,15,IOT-App,EPS-Store,2000
Internet-of-Things,WSN,11,EPS-Store,IOT-Network,2000
gateway selection,M2M,26,EPS-Store,EPS-Store,2000
bluetooth smart device,M2M,26,EPS-Store,EPS-Store,2000
energy consumption,M2M,26,EPS-Store,EPS-Store,2000
M2M communication,IoT,16,EPS-Store,IOT-App,2000
Virtual Machines,IoT,11,EPS-Store,IOT-App,2000
LTE,UE,12,EPS-Grid,EPS-Store,2000
IoT,UE,14,IOT-App,EPS-Store,2000
ZigBee,transmitter,13,EPS-Store,EPS-Store,2000
CRC,transmitter,13,EPS-Store,EPS-Store,2000
Bit-to-Symbol,transmitter,13,EPS-Store,EPS-Store,2000
Smart cities,IoT,13,IOT-App,IOT-App,2000
Information-Centric Networking,IoT,11,EPS-Store,IOT-App,2000
IoT,WiFi,21,IOT-App,EPS-Store,2000
IoT,3D,16,IOT-App,EPS-Store,2000
DTLS,IoT,21,EPS-Store,IOT-App,2000
M2M service architecture,M2M,14,EPS-Store,EPS-Store,2000
M2M gateway selection,M2M,14,EPS-Store,EPS-Store,2000
Bluetooth smart device,M2M,14,EPS-Store,EPS-Store,2000
Standardization,IoT,13,EPS-Store,IOT-App,2000
IEEE 802.15.4,IoT,14,EPS-Store,IOT-App,2000
Internet of Things,AAL,13,EPS-Source,EPS-Store,2000
SDN,IoT,18,EPS-Store,IOT-App,2000
ECC,IoT,12,EPS-Store,IOT-App,2000
Software engineering,IoT,18,EPS-Store,IOT-App,2000
Internet computing,IoT,18,EPS-Store,IOT-App,2000
software engineering,IoT,13,EPS-Store,IOT-App,2000
Open source,IoT,12,EPS-Store,IOT-App,2000
cloud service platform,IoT,12,EPS-Store,IOT-App,2000
agriculture production,IoT,12,EPS-Store,IOT-App,2000
the internet of things,IoT,12,EPS-Store,IOT-App,2000
Semantic interoperability,IoT,12,EPS-Store,IOT-App,2000
federation,IoT,12,EPS-Store,IOT-App,2000
virtual sensors,IoT,12,EPS-Store,IOT-App,2000
energy sustainability,IoT,12,EPS-Store,IOT-App,2000
green computing,IoT,12,EPS-Store,IOT-App,2000
Industrial Internet,IoT,15,EPS-Store,IOT-App,2000
Sensor Data,IoT,11,EPS-Store,IOT-App,2000
authentication,IoT,21,EPS-Store,IOT-App,2000
Mobile,IoT,14,EPS-Store,IOT-App,2000
IoT services,IoT,15,EPS-Store,IOT-App,2000
information technology,IoT,11,EPS-Store,IOT-App,2000
Smart devices,IoT,16,EPS-Store,IOT-App,2000
Internet of Things,CoT,17,EPS-Source,EPS-Store,2000
ontology,IoT,15,EPS-Store,IOT-App,2000
knowledge base,IoT,12,EPS-Store,IOT-App,2000
Beacon,IoT,15,EPS-Store,IOT-App,2000
IoT,QoS,18,IOT-App,EPS-Store,2000
SoC,DC,23,IOT-Network,EPS-Source,2000
control Lyapunov function,DC,12,IOT-Network,EPS-Source,2000
Combination energy,DC,12,IOT-Network,EPS-Source,2000
Storage device,DC,12,IOT-Network,EPS-Source,2000
Solar photovoltaic,DC,12,IOT-Network,EPS-Source,2000
Self excited induction generator,induction generator,12,IOT-Network,IOT-Network,2000
Battery energy storage system,induction generator,12,EPS-Grid,IOT-Network,2000
active and reactive power compensation,induction generator,12,IOT-Network,IOT-Network,2000
Electric Vehicles,PV,12,IOT-Network,EPS-Source,2000
Hybrid Grid,BESS,12,IOT-Network,IOT-Network,2000
Micro Grid,BESS,12,IOT-Network,IOT-Network,2000
Generation Adequacy,BESS,12,IOT-Network,IOT-Network,2000
System Stability,BESS,12,IOT-Network,IOT-Network,2000
Wind Turbine,BESS,12,IOT-Network,IOT-Network,2000
grid impacts,PV,12,IOT-Network,EPS-Source,2000
distribution-connected,PV,12,IOT-Network,EPS-Source,2000
transmission stability,PV,12,IOT-Network,EPS-Source,2000
composite load model,PV,12,IOT-Network,EPS-Source,2000
PVD1,PV,12,IOT-Network,EPS-Source,2000
Energy storage systems,DC,12,IOT-Network,EPS-Source,2000
Lighting Smart Grid,DC,11,IOT-Network,EPS-Source,2000
Internet of Things,MTC,12,EPS-Source,IOT-Network,2000
Battery energy storage,BESS,13,IOT-Network,IOT-Network,2000
microgrid,PEVs,11,EPS-Source,EPS-Grid,2000
energy management,state of charge,11,EPS-Store,IOT-Network,2000
5G,WSN,14,IOT-App,IOT-Network,2000
SVM,IoT,11,IOT-Network,IOT-App,2000
service provisioning,IoT,14,IOT-Network,IOT-App,2000
LPWAN,LoRa,11,EPS-Load,IOT-App,2000
IoT,LoRa,55,IOT-App,IOT-App,2000
network slicing,5G,24,IOT-Network,IOT-App,2000
LoRaWAN,IoT,31,IOT-Network,IOT-App,2000
Localization,IoT,21,IOT-Compute,IOT-App,2000
DNS,IoT,13,IOT-App,IOT-App,2000
neighbor discovery,IoT,12,IOT-App,IOT-App,2000
Physical layer security,physical layer,12,IOT-App,IOT-App,2000
performance evaluation,IoT,12,IOT-App,IOT-App,2000
Automatic test equipment,5G,14,IOT-App,IOT-App,2000
hardware abstraction,5G,14,IOT-App,IOT-App,2000
test executive,5G,14,IOT-App,IOT-App,2000
5G Mobile Networks,5G,14,IOT-App,IOT-App,2000
Wireless Sensor Network,Internet of Things,11,IOT-Network,EPS-Source,2000
DDS,IoT,12,IOT-App,IOT-App,2000
5G network,5G,26,IOT-App,IOT-App,2000
clustering,IoT,11,IOT-App,IOT-App,2000
IoT,intrusion detection system,12,IOT-App,IOT-Network,2000
cryptography,IoT,16,IOT-App,IOT-App,2000
quality of experience,IoT,12,IOT-App,IOT-App,2000
IoT gateway,IoT,27,IOT-App,IOT-App,2000
Throughput,IoT,18,IOT-App,IOT-App,2000
Delay,IoT,17,IOT-App,IOT-App,2000
iFogSim,IoT,12,IOT-App,IOT-App,2000
reliability,IoT,16,IOT-App,IOT-App,2000
Game theory,IoT,19,IOT-App,IOT-App,2000
e-Health,CRIP,12,IOT-App,IOT-App,2000
pervasive healthcare,CRIP,12,IOT-App,IOT-App,2000
telemedicine,CRIP,12,IOT-App,IOT-App,2000
ambient assisted living,CRIP,12,IOT-App,IOT-App,2000
telecare,CRIP,12,IOT-App,IOT-App,2000
sensors,CRIP,12,EPS-Store,IOT-App,2000
internet of things,CRIP,12,EPS-Store,IOT-App,2000
health devices,CRIP,12,IOT-App,IOT-App,2000
open source,CRIP,12,IOT-App,IOT-App,2000
IEEE 11073,CRIP,12,IOT-App,IOT-App,2000
edge computing,IoT,107,IOT-App,IOT-App,2000
RSSI,Internet of Things,12,IOT-App,EPS-Source,2000
WPT,RF,11,IOT-App,IOT-App,2000
Distributed computing,IoT,18,IOT-App,IOT-App,2000
Wireless communication,IoT,31,IOT-App,IOT-App,2000
Perception layer,IoT,12,IOT-App,IOT-App,2000
power control,IoT,12,IOT-App,IOT-App,2000
simultaneous wireless information and power transfer,RF,13,IOT-App,IOT-App,2000
u-Disaster,P2P,15,IOT-App,IOT-App,2000
Peer to peer,P2P,15,IOT-App,IOT-App,2000
P2P cloud network,P2P,15,IOT-App,IOT-App,2000
Disaster situations,P2P,15,IOT-App,IOT-App,2000
Disaster Index,P2P,15,IOT-App,IOT-App,2000
Land Safety,P2P,15,IOT-App,IOT-App,2000
Machine-to-machine,M2M,14,IOT-App,EPS-Store,2000
4G,M2M,12,IOT-App,EPS-Store,2000
3rd Generation partnership project,M2M,12,IOT-App,EPS-Store,2000
Long-term-evolution-advanced,M2M,12,IOT-App,EPS-Store,2000
Latency,BLE,12,IOT-Network,EPS-Store,2000
Discovery,BLE,12,IOT-App,EPS-Store,2000
Energy,BLE,12,EPS-Load,EPS-Store,2000
data privacy,IoT,16,IOT-App,IOT-App,2000
data integrity,IoT,14,IOT-App,IOT-App,2000
Edge Computing,IoT,87,IOT-App,IOT-App,2000
Internet of Thing,IoT,38,IOT-App,IOT-App,2000
cyber security,IoT,32,IOT-App,IOT-App,2000
Dynamic Group Members,IoT,12,IOT-App,IOT-App,2000
Lightweight Authentication,IoT,14,IOT-App,IOT-App,2000
Cellular Network,IoT,16,IOT-App,IOT-App,2000
sensor data aggregation,M2M,12,IOT-App,EPS-Store,2000
in memory processing,M2M,12,IOT-App,EPS-Store,2000
IoT (the Internet of Things),M2M,12,IOT-App,EPS-Store,2000
Sensor discovery,IoT,28,IOT-App,IOT-App,2000
Sensor integration,IoT,28,IOT-App,IOT-App,2000
